state,region,course
"
Alabama
","
Alabama
",Big Spring Lake Golf
"
Alabama
","
Alabama
",Smoky Eagle Golf Course
"
Alabama
","
Alabama
",Willow Brook Golf Course
"
Alabama
","
Alabama
",Willow Point Country Club
"
Alabama
","
Alabama
",Aliceville Golf Course
"
Alabama
","
Alabama
",Alpine Bay Resort
"
Alabama
","
Alabama
",Whippoorwill Golf Course
"
Alabama
","
Alabama
",Andalusia Country Club
"
Alabama
","
Alabama
",Evans Barnes Golf Course
"
Alabama
","
Alabama
",Old Pine Golf Course
"
Alabama
","
Alabama
",Anderson Golf Club
"
Alabama
","
Alabama
",Anniston Country Club
"
Alabama
","
Alabama
",Anniston Municipal Golf Course
"
Alabama
","
Alabama
",Cane Creek Golf Course
"
Alabama
","
Alabama
",Indian Oaks Golf Club
"
Alabama
","
Alabama
",Pine Hill Country Club
"
Alabama
","
Alabama
",Brookside Golf Course
"
Alabama
","
Alabama
",Twin Lakes Golf Club
"
Alabama
","
Alabama
",Clay County Public Golf Course
"
Alabama
","
Alabama
",Canebrake Golf Club
"
Alabama
","
Alabama
",Southern Gayles Golf Course
"
Alabama
","
Alabama
",Atmore Country Club
"
Alabama
","
Alabama
",Wills Creek Country Club
"
Alabama
","
Alabama
",Auburn University Golf Club
"
Alabama
","
Alabama
",Indian Pines Golf Course
"
Alabama
","
Alabama
",Moore's Mill Golf Club
"
Alabama
","
Alabama
",The Greens At Auburn
"
Alabama
","
Alabama
",Holly Hills Country Club
"
Alabama
","
Alabama
",Brook/Graveyard at Bent Brook Golf Course
"
Alabama
","
Alabama
",Frank House Municipal Golf Course
"
Alabama
","
Alabama
",Graveyard/Windmill at Bent Brook Golf Course
"
Alabama
","
Alabama
",Windmill/Brook at Bent Brook Golf Course
"
Alabama
","
Alabama
",Woodward Golf Club
"
Alabama
","
Alabama
",East at Country Club of Birmingham
"
Alabama
","
Alabama
",Founders at Greystone Golf & Country Club
"
Alabama
","
Alabama
",Grayson Valley Country Club
"
Alabama
","
Alabama
",Heatherwood Hills Country Club
"
Alabama
","
Alabama
",Highland Park Golf Course
"
Alabama
","
Alabama
",Hoover Country Club
"
Alabama
","
Alabama
",Inverness Country Club
"
Alabama
","
Alabama
",Legacy at Greystone Golf & Country Club
"
Alabama
","
Alabama
",Mountain Brook Club
"
Alabama
","
Alabama
",Pine Tree Country Club
"
Alabama
","
Alabama
",Ridge at Oxmoor Valley Golf Course
"
Alabama
","
Alabama
",Riverchase Country Club
"
Alabama
","
Alabama
",Roebuck Municipal Golf Course
"
Alabama
","
Alabama
",Shoal Creek Golf Club
"
Alabama
","
Alabama
",Shoal Creek Golf Club - Little Links Par-3
"
Alabama
","
Alabama
",Short at Oxmoor Valley Golf Course
"
Alabama
","
Alabama
",The Robert Trent Jones Golf Trail at Ross Bridge
"
Alabama
","
Alabama
",Valley at Oxmoor Valley Golf Course
"
Alabama
","
Alabama
",Vestavia Country Club
"
Alabama
","
Alabama
",Vestavia Country Club - Par 3 Course
"
Alabama
","
Alabama
",West at Country Club of Birmingham
"
Alabama
","
Alabama
",Westside Golf
"
Alabama
","
Alabama
",Clear Creek Golf Club
"
Alabama
","
Alabama
",Country Club of Brewton
"
Alabama
","
Alabama
",Dogwood Hills Golf Course
"
Alabama
","
Alabama
",Brundidge Country Club
"
Alabama
","
Alabama
",Hidden Valley Golf Course
"
Alabama
","
Alabama
",Choctaw Country Club
"
Alabama
","
Alabama
",Timberline Golf Club
"
Alabama
","
Alabama
",Deer Haven Golf Club at Roland Cooper State Park
"
Alabama
","
Alabama
",Cherokee Country Club
"
Alabama
","
Alabama
",Cahaba Falls Country Club
"
Alabama
","
Alabama
",Deerfield Golf Club
"
Alabama
","
Alabama
",Deer Valley Links Golf Course
"
Alabama
","
Alabama
",Mill Creek Golf Course
"
Alabama
","
Alabama
",Clanton Country Club
"
Alabama
","
Alabama
",Magnolia Meadows Golf Course
"
Alabama
","
Alabama
",Coosa Pines Golf Club
"
Alabama
","
Alabama
",Horse Creek Golf Course
"
Alabama
","
Alabama
",Chesley Oaks Golf Club
"
Alabama
","
Alabama
",Terri Pines Country Club
"
Alabama
","
Alabama
",StillWaters Golf Club - The Highlands Course
"
Alabama
","
Alabama
",Dogwood/Pines at TimberCreek Golf Club
"
Alabama
","
Alabama
",Lake Forest Golf Club
"
Alabama
","
Alabama
",Magnolia/Dogwood at TimberCreek Golf Club
"
Alabama
","
Alabama
",Pines/Magnolia at TimberCreek Golf Club
"
Alabama
","
Alabama
",Isle Dauphine Golf Club
"
Alabama
","
Alabama
",Burningtree Country Club
"
Alabama
","
Alabama
",Decatur Country Club
"
Alabama
","
Alabama
",Point Mallard Golf Course
"
Alabama
","
Alabama
",Demopolis Country Club
